pH,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
6.88,223.75,18889.88,2.94,312.78,391.43,6.96,16.12,2.13,0
8.75,218.88,3741.45,5.88,174.48,145.23,4.43,70.72,4.49,1
7.24,157.39,29289.02,0.93,242.18,959.27,10.28,48.28,4.22,0
8.13,293.01,38349.4,8.14,187.53,625.25,12.13,91.89,2.61,1
6.87,223.88,32529.4,6.15,343.29,545.09,3.95,67.87,2.26,1
6.94,159.84,23051.27,11.74,338.25,658.19,8.67,78.14,4.76,0
7.64,296.51,18693.68,4.63,409.75,440.82,16.67,93.6,2.98,1
7.7,101.79,43637.17,5.51,322.44,568.11,18.97,57.97,2.08,1
6.9,118.5,14741.46,5.58,374.17,946.39,7.43,11.2,3.31,0
4.99,217.55,2175.9,11.46,351.88,951.62,27.22,101.9,3.86,1
6.86,308.37,31582.33,4.78,271.43,601.69,17.76,10.91,3.78,1
7.58,273.67,43050.84,7.26,279.58,460.89,10.72,91.07,4.36,1
7.02,176.03,3786.68,2.08,307.62,217.95,9.99,95.01,2.48,0
7.39,195.61,26218.32,9.92,127.04,835.87,21.14,52.06,1.73,0
7.23,258.75,45991.74,3.6,153.4,620.31,18.37,70.57,1.91,1
5.78,173.05,1114.33,7.4,295.88,470.88,8.66,40.7,2.15,1
7.75,109.52,40564.75,8.05,98.53,219.89,18.82,47.23,1.59,1
6.51,289.63,37206.07,5.32,225.8,183.66,10.75,62.42,1.44,1
6.57,220.19,21462.87,10.12,301.62,328.59,8.39,31.68,3.2,1
7.5,277.9,30601.15,3.67,110.0,746.29,4.95,95.45,4.45,0
6.38,142.43,43081.44,2.04,294.14,328.32,21.76,37.08,2.75,1
7.22,304.92,27677.77,5.2,104.59,316.67,19.27,28.12,2.9,0
6.27,250.79,14080.63,6.82,311.99,491.03,23.2,66.79,2.9,1
6.84,101.11,33106.94,6.05,270.99,406.62,16.12,111.95,3.6,1
6.68,128.33,43566.61,3.41,230.52,669.58,11.91,110.53,4.28,0
6.61,224.4,25804.7,1.58,270.66,958.07,8.23,106.34,3.1,0
